Time,Busy UPFs
1766578.0,27
1766614.0,26
1766764.0,25
1767002.0,25
1767161.0,25
1767174.0,25
1767236.0,25
1767240.0,25
1767281.0,25
1767386.0,25
1767520.0,25
1767589.0,25
1767654.0,25
1767713.0,25
1767719.0,25
1767745.0,25
1767825.0,25
1767905.0,25
1768008.0,25
1768050.0,25
1768123.0,26
1768281.0,26
1768330.0,26
1768343.0,26
1768347.0,26
1768438.0,26
1768455.0,26
1768525.0,26
1768621.0,26
1768883.0,26
1769083.0,26
1769315.0,26
1769328.0,27
1769407.0,27
1769538.0,27
1769570.0,27
1769669.0,27
1769852.0,27
1769889.0,27
1769919.0,27
1769946.0,27
1769995.0,27
1769997.0,27
1770007.0,27
1770076.0,27
1770177.0,27
1770188.0,27
1770335.0,27
1770360.0,27
1770380.0,27
1770483.0,27
1770483.0,27
1770611.0,27
1770614.0,27
1770627.0,28
1770652.0,28
1770655.0,28
1770926.0,28
1770951.0,28
1771090.0,28
1771135.0,28
1771213.0,28
1771402.0,28
1771466.0,28
1771587.0,28
1771641.0,28
1771678.0,28
1771715.0,28
1771792.0,28
1771928.0,28
1771954.0,28
1771978.0,28
1772120.0,28
1772202.0,28
1772205.0,28
1772237.0,28
1772256.0,28
1772274.0,28
1772379.0,28
1772412.0,28
1772422.0,28
1772572.0,28
1772576.0,28
1772590.0,28
1772671.0,28
1772733.0,28
1772919.0,29
1772927.0,29
1773151.0,29
1773173.0,29
1773175.0,29
1773228.0,29
1773395.0,29
1773668.0,29
1773752.0,29
1773811.0,29
1773859.0,29
1773894.0,29
1773968.0,29
1773987.0,29
1774037.0,29
1774090.0,29
1774188.0,29
1774194.0,29
1774208.0,29
1774231.0,29
1774233.0,29
1774299.0,29
1774301.0,29
1774340.0,29
1774377.0,29
1774488.0,29
1774631.0,29
1774663.0,29
1774879.0,30
1774885.0,30
1775082.0,30
1775144.0,30
1775221.0,30
1775409.0,30
1775450.0,30
1775508.0,30
1775538.0,30
1775540.0,30
1775993.0,30
1776038.0,30
1776068.0,30
1776091.0,30
1776108.0,30
1776206.0,30
1776242.0,30
1776479.0,30
1776495.0,31
1776607.0,31
1776646.0,31
1776793.0,31
1776809.0,31
1776907.0,31
1777023.0,31
1777028.0,31
1777174.0,31
1777215.0,31
1777406.0,31
1777451.0,31
1777471.0,31
1777514.0,31
1777567.0,31
1777589.0,31
1778074.0,31
1778163.0,31
1778278.0,31
1778281.0,31
1778368.0,31
1778463.0,31
1778506.0,31
1778559.0,31
1778615.0,31
1778617.0,31
1778738.0,31
1778749.0,31
1778906.0,31
1778928.0,31
1779071.0,31
1779077.0,31
1779176.0,31
1779253.0,31
1779310.0,31
1779362.0,30
1779409.0,30
1779441.0,29
1779465.0,29
1779576.0,29
1779618.0,29
1779639.0,29
1779656.0,29
1779759.0,29
1779924.0,29
1779962.0,29
1779964.0,29
1780049.0,29
1780132.0,29
1780193.0,29
1780205.0,29
1780205.0,29
1780560.0,29
1780596.0,29
1780699.0,29
1780702.0,29
1780736.0,29
1780766.0,29
1780768.0,29
1780897.0,29
1780914.0,29
1780968.0,29
1781050.0,30
1781246.0,30
1781259.0,30
1781316.0,29
1781464.0,29
1781549.0,29
1781614.0,29
1781692.0,29
1782007.0,29
1782042.0,29
1782243.0,29
1782265.0,29
1782288.0,29
1782396.0,29
1782427.0,29
1782451.0,29
1782580.0,29
1782615.0,29
1782764.0,29
1782769.0,29
1782834.0,29
1782920.0,29
1782959.0,29
1783132.0,29
1783167.0,29
1783184.0,29
1783399.0,29
1783479.0,29
1783510.0,29
1783885.0,29
1783892.0,29
1783903.0,29
1783969.0,29
1784019.0,29
1784081.0,29
1784117.0,29
1784162.0,30
1784171.0,30
1784217.0,30
1784261.0,30
1784350.0,30
1784622.0,30
1784631.0,30
1784652.0,30
1784898.0,30
1785166.0,30
1785189.0,30
1785262.0,30
1785280.0,30
1785475.0,30
1785813.0,30
1785822.0,30
1785980.0,30
